,One_BR,Two_BR,Three_BR,Four_BR
130344,55.12303717482879,75.68223907581283,105.10358985568058,132.33154224447733
130345,55.29790532150596,75.95235499171561,105.4675558337613,132.7941517777067
130346,55.46174936638475,76.20840524372883,105.8121404198414,133.2294024313415
130347,55.61558466741444,76.44945347180985,106.13643599945263,133.6384465807525
130348,55.76224116756254,76.67852584594874,106.44468643839477,134.02777065519123
130349,56.20983098190306,77.2553142032369,107.23345850670572,135.11517958367827
130350,56.58672124737112,77.82850185468779,108.00697628702149,136.10603489209885
130351,51.04376284231992,71.50795679157365,99.26087648400924,123.31820713159088
130352,46.852802028650245,65.19765716233465,90.7335298714614,112.32790603185609
130353,43.04001714317844,59.235786353238204,82.70857329755789,102.18806670891912
130354,39.48368507546909,53.65188831688698,75.1971460895347,92.72162801631981
130355,36.156670504153624,48.42673658955635,68.16889712336622,83.86624541315747
130356,33.043046536447896,43.53701567651857,61.59186816842337,75.57930343515595
130357,30.12934400539199,38.96127976485079,55.43717681274232,67.82449044696617
130358,27.40375638902808,34.680554471736954,49.67933847128086,60.57000951263459
130359,24.853135398234123,30.674917630273008,44.29148319266361,53.78147360941876
130360,22.466433425153546,26.92671725436278,39.249895525604394,47.42921313890707
130361,20.23318042042553,23.419476813560554,34.53241783333793,41.485339620262586
130362,18.14356188014367,20.13778119324343,30.118316248681143,35.9237314282252
130363,16.188389772005355,17.067202399549316,25.988184042471946,30.719935743347868
130364,14.35906371071221,14.194235509437544,22.12385600219546,25.85106372476718
130365,12.647533464503466,11.506239508941693,18.50832893204424,21.29569068196662
130366,11.04722013654902,8.992496359251893,15.127225959229822,17.035988573000157
130367,9.549891290153223,6.640809593396279,11.964068747303491,13.050659335608824
130368,8.149103577967582,4.44075792874344,9.004867675544656,9.322287596717626
130369,6.838697004231174,2.3826328541400006,6.236568634455517,5.834455588829914
130370,5.615760550818771,0.4606973370922628,3.6515748634482916,2.5784570901882926
130371,4.471344911261226,-1.3369097806444468,1.2337129633704838,-0.46769073400359334
130372,3.4008605638180134,-3.0183058144595662,-1.0278519360496023,-3.317003913716447
130373,2.3996251033977267,-4.590950408884301,-3.143139769687723,-5.982015190289251
130374,1.4632131129799935,-6.061803793927315,-5.121510454535599,-8.474506874568275
130375,0.5874782185758779,-7.43737787021284,-6.971722723377087,-10.805514055810828
130376,-0.23146101795046942,-8.723767595729438,-8.70197475361322,-12.985366642100855
130377,-0.9972377539754084,-9.926677998160837,-10.319940269316252,-15.023733818331257
130378,-1.7132527359080476,-11.051449156786132,-11.832802113250562,-16.929666247778187
130379,-2.381732797671283,-12.101965209413242,-13.245745002715068,-18.709409496259642
130380,-3.0068367097427067,-13.084025879111135,-14.56664313060406,-20.37342006785225
130381,-3.5854565214220586,-13.995378843726883,-15.792200489450845,-21.915608478654253
130382,-4.127258224686124,-14.846854021322661,-16.937418119736982,-23.35805397948871
130383,-4.630859741954921,-15.639268176252852,-18.00310748015079,-24.699640460974514
130384,-5.101964841369343,-16.379600140569753,-18.99884705112117,-25.953855368483854
130385,-5.542210201391817,-17.071352764383008,-19.929260547232587,-27.125865329479893
130386,-5.953522366201695,-17.71766022683813,-20.798549186807467,-28.220868759472285
130387,-6.3377477874242905,-18.321433220480042,-21.610625848977627,-29.243784254407178
130388,-6.696618868189667,-18.88539306753291,-22.369150619405282,-30.199222391765854
130389,-7.03080112093175,-19.41097227607707,-23.076010532588434,-31.089273410485983
130390,-7.342991880053887,-19.901675724158284,-23.735993022523665,-31.920504369296523
130391,-7.627758873112105,-20.35198869683303,-24.341374130618146,-32.6809590108367
130392,-7.777033334410616,-20.634787364345108,-24.716777750958173,-33.11802073024652
130393,-7.927378422449741,-20.880256501821727,-25.045749657753788,-33.52465905022192
130394,-8.07091031558613,-21.10702181881547,-25.350541900552063,-33.90741997445019
130395,-8.188573482548556,-21.298892394772885,-25.607874876382123,-34.226345506362534
130396,-8.299752540052857,-21.47505374012925,-25.844626434846223,-34.52335067317831
130397,-8.396804126138015,-21.63071859599764,-26.053659372030637,-34.78427322283992
130398,-8.487090235558432,-21.77363557690123,-26.24575893797258,-35.025412241393916
