Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-06-30,90701,386824,448350,614719,716825
2020-06-30,90706,474129,493498,561948,639253
2020-06-30,90710,392815,440268,619947,720560
2020-06-30,90715,369324,429892,581586,662043
2020-06-30,90717,539037,607093,725452,876868
2020-06-30,90723,300689,406539,502879,565550
2020-06-30,90731,491976,563931,680009,741901
2020-06-30,90732,349639,536369,798781,887633
2020-06-30,90744,392915,450621,501963,552109
2020-06-30,90755,348786,461551,654347,935868
2020-06-30,90802,347582,498052,792947,780690
2020-06-30,90803,449115,826726,1150888,1361859
2020-06-30,90804,349579,483878,658787,827915
2020-06-30,90805,392241,474228,524210,579715
2020-06-30,90806,386093,540662,595793,651014
2020-06-30,90808,477814,615261,709691,783433
2020-06-30,90814,373671,621963,997364,1180547
2020-06-30,91001,638929,748249,899030,1230171
2020-06-30,91006,775264,667713,887099,1264077
2020-06-30,91007,566571,649724,935931,1348414
2020-06-30,91010,490543,495851,565024,681510
2020-06-30,91011,764895,1064568,1413596,1968465
2020-06-30,91016,639629,670304,756476,877668
2020-06-30,91020,630507,712594,779309,1087594
2020-06-30,91024,626280,751868,1052366,1375026
2020-06-30,91030,583156,803370,1201001,1648724
2020-06-30,91040,526222,585325,677978,831045
2020-06-30,91042,488944,571929,727880,872153
2020-06-30,91101,480686,637551,795392,1108633
2020-06-30,91103,593772,692150,821163,1218123
2020-06-30,91104,630242,753787,917360,1107977
2020-06-30,91105,618247,908211,1332308,2114495
2020-06-30,91106,445725,636389,946113,2124123
2020-06-30,91107,473023,733227,957955,1382022
2020-06-30,91201,663048,780171,972656,1170916
2020-06-30,91202,423954,655221,997148,1384053
2020-06-30,91204,481022,592201,741525,884302
