model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMA,0,1,6,0,0,0,78553.96265,226.6731409,8023.303576,49294.23801,178.3518688
SARIMA,0,1,6,0,0,1,78321.82693,222.2922986,8023.303576,44341.64845,168.1199225
SARIMA,0,1,6,0,0,2,79919.344,217.9509017,8023.303576,42172.5564,161.2324546
SARIMA,0,1,6,0,1,0,204470.7155,377.7830805,8023.303576,889788.0068,889.42871
SARIMA,0,1,6,0,1,1,87568.24031,241.8835142,8023.303576,79247.31394,238.5342495
SARIMA,0,1,6,0,1,2,83859.26188,235.5396417,8023.303576,58444.39453,199.2375934
SARIMA,0,1,6,1,0,0,80910.49593,219.7057489,8023.303576,42203.90931,161.1534976
SARIMA,0,1,6,1,0,1,89161.18705,244.6418472,8023.303576,90416.619,257.9954448
SARIMA,0,1,6,1,0,2,86399.38048,239.3436289,8023.303576,72670.31865,226.6202265
SARIMA,0,1,6,1,1,0,153957.7075,328.8793539,8023.303576,315558.7292,522.2653214
SARIMA,0,1,6,1,1,1,85825.03706,238.9333398,8023.303576,69919.36712,221.400258
SARIMA,0,1,6,1,1,2,88775.6537,244.0938306,8023.303576,86571.10067,251.2244757
SARIMA,0,1,6,2,0,0,75148.53489,211.10235,8023.303576,42158.46228,161.3841779
SARIMA,0,1,6,2,0,1,88401.87924,243.1216715,8023.303576,85552.09884,249.5336272
SARIMA,0,1,6,2,0,2,91077.56215,247.5148309,8023.303576,100292.0685,273.7740742
SARIMA,0,1,6,2,1,0,123450.5642,295.569588,8023.303576,216846.668,425.4709389
SARIMA,0,1,6,2,1,1,85455.92296,238.2586765,8023.303576,68124.46131,217.9943242
SARIMA,0,1,6,2,1,2,86123.6576,239.1532801,8023.303576,72322.50309,225.9095284
SARIMA,1,0,0,0,0,0,780517.9466,836.5470428,8023.303576,1493740.182,1203.636465
SARIMA,1,0,0,0,0,1,963383.4429,934.4967453,8023.303576,1513570.08,1212.610193
SARIMA,1,0,0,0,0,2,1045136.104,972.8337189,8023.303576,1518533.329,1214.878449
SARIMA,1,0,0,0,1,0,143619.9526,311.9245504,8023.303576,110053.1315,268.9727436
SARIMA,1,0,0,0,1,1,83676.52808,224.256816,8023.303576,30888.15075,138.0324433
SARIMA,1,0,0,0,1,2,83392.79518,224.0268237,8023.303576,30875.44465,138.0914028
SARIMA,1,0,0,1,0,0,1079554.275,991.5504256,8023.303576,1519356.087,1215.259095
SARIMA,1,0,0,1,0,1,81995.31096,226.0403715,8023.303576,32735.17542,142.2564841
SARIMA,1,0,0,1,0,2,81921.06403,225.2490236,8023.303576,31769.17735,139.7281301
SARIMA,1,0,0,1,1,0,114537.0184,283.4057585,8023.303576,90870.95429,252.630951
SARIMA,1,0,0,1,1,1,83501.47539,224.0163899,8023.303576,30914.28849,138.2436374
SARIMA,1,0,0,1,1,2,82999.57791,223.5856848,8023.303576,30860.0411,137.9910137
SARIMA,1,0,0,2,0,0,61070.0506,183.3856211,8023.303576,401184.1975,577.688092
SARIMA,1,0,0,2,0,1,81683.52916,224.9930467,8023.303576,32291.21749,141.101681
SARIMA,1,0,0,2,0,2,81649.86802,224.8742398,8023.303576,32182.12559,140.7939922
SARIMA,1,0,0,2,1,0,96412.03726,258.6587378,8023.303576,66035.44603,210.9368068
SARIMA,1,0,0,2,1,1,82559.66881,222.8880166,8023.303576,30860.07103,138.0014671
SARIMA,1,0,0,2,1,2,83154.86087,223.2539437,8023.303576,30908.19932,138.2630479
SARIMA,1,0,1,0,0,0,87650.27264,249.1220125,8023.303576,63180.99253,204.8697396
SARIMA,1,0,1,0,0,1,65677.45909,202.9778261,8023.303576,110128.3889,274.2687926
SARIMA,1,0,1,0,0,2,61137.5329,178.7498235,8023.303576,355415.8225,536.1921206
SARIMA,1,0,1,0,1,0,142167.831,310.5196902,8023.303576,108460.5799,266.8907385
SARIMA,1,0,1,0,1,1,82449.297,223.0621548,8023.303576,30863.64487,138.0694846
SARIMA,1,0,1,0,1,2,82430.49439,223.2258539,8023.303576,30841.64106,137.9510438
SARIMA,1,0,1,1,0,0,93736.84608,236.2516093,8023.303576,631164.4118,742.9982249
SARIMA,1,0,1,1,0,1,81147.80906,224.7637925,8023.303576,32188.65821,140.8463292
SARIMA,1,0,1,1,0,2,81130.27167,224.2853237,8023.303576,32029.41488,140.3354297
SARIMA,1,0,1,1,1,0,116797.338,286.537856,8023.303576,93624.3303,257.3576364
SARIMA,1,0,1,1,1,1,82544.53236,223.2361218,8023.303576,30865.6309,138.0719522
SARIMA,1,0,1,1,1,2,82569.81473,223.3432894,8023.303576,30851.02631,138.0296802
SARIMA,1,0,1,2,0,0,97625.37106,248.224541,8023.303576,955371.6268,932.2341786
SARIMA,1,0,1,2,0,1,79210.0893,218.7224014,8023.303576,33326.53747,141.4158777
SARIMA,1,0,1,2,0,2,80938.68445,224.8219104,8023.303576,33199.41903,143.5347218
SARIMA,1,0,1,2,1,0,98640.10251,262.385671,8023.303576,69030.74991,216.8918304
SARIMA,1,0,1,2,1,1,82129.4779,222.7492181,8023.303576,30843.16299,137.9362339
SARIMA,1,0,1,2,1,2,82375.23837,222.7307559,8023.303576,30870.76792,138.1285346
SARIMA,1,0,2,0,0,0,84249.30465,238.4829374,8023.303576,80241.59225,236.4435274
